0.16,3.14,9.40,0.05,-0.04,-0.18,.1
-0.07,3.07,9.07,0.08,-0.01,-0.09,.2
-0.24,3.41,8.63,0.02,0.07,-0.02,.3
-0.82,3.69,9.09,0.02,0.09,0.19,.4
-0.49,3.17,9.00,-0.12,0.15,0.48,.5
-0.34,2.87,9.63,-0.06,0.20,0.46,.6
0.23,2.74,8.97,0.17,0.26,0.30,.7
0.12,3.37,8.71,0.21,0.25,0.06,.8
0.10,3.49,11.03,-0.09,0.33,-0.02,.9
0.35,3.55,10.00,-0.03,0.47,-0.21,1
-0.72,3.67,9.08,0.24,0.21,-0.61,1.1
-1.99,3.90,7.75,0.97,0.28,-1.06,1.2
-1.78,3.67,9.02,0.28,-0.37,-0.58,1.3
-1.91,4.34,7.65,0.41,-0.56,-0.57,1.4
-0.23,3.95,5.98,0.40,-0.73,-0.75,1.5
-0.13,3.51,7.00,-0.43,-1.05,-1.00,1.6
-0.68,3.02,7.19,-0.42,-0.81,-1.28,1.7
-0.71,1.49,8.68,-0.84,-0.96,-1.36,1.8
-1.16,1.77,10.72,-0.75,-0.63,-1.21,1.9
-0.92,1.26,11.08,-0.70,0.26,-0.50,2
0.02,0.59,7.14,-0.22,0.09,-0.30,2.1
-1.22,0.43,11.06,-0.52,0.10,-0.55,2.2
-1.27,-0.33,11.92,-0.34,0.11,-0.64,2.3
-1.38,-0.66,11.64,-0.04,0.20,-0.44,2.4
-1.43,0.36,10.99,0.23,-0.21,-0.20,2.5
-1.25,0.04,10.43,0.24,0.10,-0.24,2.6
-1.21,-0.50,9.51,0.97,0.29,-0.72,2.7
-1.39,0.47,8.77,0.87,-0.06,-0.27,2.8
-3.63,4.11,7.78,0.91,-0.19,-0.24,2.9
-1.84,4.55,9.48,-0.34,-0.21,1.08,3
-2.61,4.69,7.37,0.83,0.79,0.95,3.1
0.33,4.26,6.46,0.92,0.81,1.55,3.2
0.87,4.10,7.50,0.13,1.26,1.67,3.3
2.73,3.34,9.68,-0.09,0.95,1.54,3.4
0.97,3.97,10.81,-0.37,0.76,0.66,3.5
-0.59,4.65,9.58,0.22,0.35,0.24,3.6
-0.67,4.42,8.79,0.50,0.15,-0.06,3.7
-0.57,5.30,9.63,0.45,0.22,-0.12,3.8
-0.50,5.81,9.36,0.45,-0.51,0.17,3.9
0.66,4.71,8.62,-0.20,-1.24,0.40,4
0.41,4.57,8.38,0.01,-0.76,0.15,4.1
-0.17,4.73,7.53,0.47,-0.11,0.42,4.2
1.64,5.53,8.54,0.23,0.43,0.46,4.3
0.37,6.36,7.09,0.76,1.41,0.07,4.4
1.96,7.40,8.21,-0.13,1.22,0.52,4.5
0.51,6.01,6.76,-0.10,0.04,0.16,4.6
-0.72,6.68,7.93,-0.07,-0.67,-0.54,4.7
-1.35,5.68,7.80,-0.05,-0.08,-0.43,4.8
-1.45,5.57,7.07,-0.18,-0.38,-0.26,4.9
-1.15,5.61,7.20,-0.23,-0.25,-0.07,5
-1.78,5.56,10.35,-0.57,0.17,0.05,5.1
0.27,3.43,7.29,-1.91,-0.29,0.25,5.2
